Month,S&P500,Dividends,Earnings,CPI,10-year rate,Gold,President age,Temperature
01/1880,5.11,0.02,0.03,9.99,0.040200,20.67,687,-0.29
02/1880,5.2,0.02,0.03,9.99,0.039900,20.67,688,-0.18
03/1880,5.3,0.02,0.03,10.09,0.039700,20.67,689,-0.11
04/1880,5.18,0.02,0.03,9.7,0.039400,20.67,690,-0.19
05/1880,4.77,0.02,0.04,9.42,0.039100,20.67,691,-0.11
06/1880,4.79,0.02,0.04,9.23,0.038900,20.67,692,-0.23
07/1880,5.01,0.02,0.04,9.23,0.038600,20.67,693,-0.21
08/1880,5.19,0.02,0.04,9.23,0.038300,20.67,694,-0.09
09/1880,5.18,0.02,0.04,9.32,0.038100,20.67,695,-0.16
10/1880,5.33,0.02,0.04,9.32,0.037800,20.67,696,-0.23
11/1880,5.61,0.02,0.04,9.42,0.037500,20.67,697,-0.2
12/1880,5.84,0.02,0.04,9.51,0.037300,20.67,698,-0.22
01/1881,6.19,0.02,0.04,9.42,0.037000,20.67,699,-0.15
02/1881,6.17,0.02,0.04,9.51,0.036900,20.67,700,-0.17
03/1881,6.24,0.02,0.04,9.51,0.036900,20.67,592,0.04
04/1881,6.22,0.02,0.04,9.61,0.036800,20.67,593,0.04
05/1881,6.5,0.02,0.04,9.51,0.036700,20.67,594,0.02
06/1881,6.58,0.02,0.04,9.51,0.036700,20.67,595,-0.2
07/1881,6.35,0.02,0.04,9.61,0.036600,20.67,596,-0.06
08/1881,6.2,0.03,0.04,9.8,0.036500,20.67,597,-0.02
09/1881,6.25,0.03,0.04,10.18,0.036500,20.67,623,-0.13
10/1881,6.15,0.03,0.04,10.28,0.036400,20.67,624,-0.2
11/1881,6.19,0.03,0.04,10.18,0.036300,20.67,625,-0.21
12/1881,6.01,0.03,0.04,10.18,0.036300,20.67,626,-0.1
01/1882,5.92,0.03,0.04,10.18,0.036200,20.67,627,0.15
02/1882,5.79,0.03,0.04,10.28,0.036200,20.67,628,0.15
03/1882,5.78,0.03,0.04,10.28,0.036200,20.67,629,0.04
04/1882,5.78,0.03,0.04,10.37,0.036200,20.67,630,-0.18
05/1882,5.71,0.03,0.04,10.47,0.036200,20.67,631,-0.15
06/1882,5.68,0.03,0.04,10.56,0.036200,20.67,632,-0.25
07/1882,6,0.03,0.04,10.47,0.036300,20.67,633,-0.2
08/1882,6.18,0.03,0.04,10.56,0.036300,20.67,634,-0.05
09/1882,6.24,0.03,0.04,10.28,0.036300,20.67,635,-0.1
10/1882,6.07,0.03,0.04,10.18,0.036300,20.67,636,-0.24
11/1882,5.81,0.03,0.04,10.09,0.036300,20.67,637,-0.15
12/1882,5.84,0.03,0.04,9.99,0.036300,20.67,638,-0.24
01/1883,5.81,0.03,0.04,9.99,0.036300,20.67,639,-0.31
02/1883,5.68,0.03,0.04,10.09,0.036300,20.67,640,-0.38
03/1883,5.75,0.03,0.04,9.99,0.036300,20.67,641,-0.12
04/1883,5.87,0.03,0.04,9.9,0.036300,20.67,642,-0.16
05/1883,5.77,0.03,0.03,9.8,0.036300,20.67,643,-0.19
06/1883,5.82,0.03,0.03,9.51,0.036300,20.67,644,-0.12
07/1883,5.73,0.03,0.03,9.32,0.036300,20.67,645,-0.08
08/1883,5.47,0.03,0.03,9.32,0.036200,20.67,646,-0.15
09/1883,5.53,0.03,0.03,9.23,0.036200,20.67,647,-0.2
10/1883,5.38,0.03,0.03,9.23,0.036200,20.67,648,-0.14
11/1883,5.46,0.03,0.03,9.13,0.036200,20.67,649,-0.22
12/1883,5.34,0.03,0.03,9.23,0.036200,20.67,650,-0.15
01/1884,5.18,0.03,0.03,9.23,0.036200,20.67,651,-0.15
02/1884,5.32,0.03,0.03,9.23,0.036100,20.67,652,-0.08
03/1884,5.3,0.03,0.03,9.23,0.036000,20.67,653,-0.37
04/1884,5.06,0.03,0.03,9.04,0.036000,20.67,654,-0.42
05/1884,4.65,0.03,0.03,8.85,0.035900,20.67,655,-0.36
06/1884,4.46,0.03,0.03,8.85,0.035800,20.67,656,-0.4
07/1884,4.46,0.03,0.03,8.75,0.035700,20.67,657,-0.34
08/1884,4.74,0.03,0.03,8.75,0.035600,20.67,658,-0.26
09/1884,4.59,0.03,0.03,8.66,0.035500,20.67,659,-0.27
10/1884,4.44,0.03,0.03,8.56,0.035500,20.67,660,-0.24
11/1884,4.35,0.03,0.03,8.37,0.035400,20.67,661,-0.29
12/1884,4.34,0.03,0.03,8.28,0.035300,20.67,662,-0.28
01/1885,4.24,0.03,0.03,8.28,0.035200,20.67,663,-0.58
02/1885,4.37,0.02,0.03,8.37,0.035100,20.67,664,-0.29
03/1885,4.38,0.02,0.03,8.18,0.035000,20.67,576,-0.25
04/1885,4.37,0.02,0.02,8.28,0.034800,20.67,577,-0.42
05/1885,4.32,0.02,0.02,8.09,0.034700,20.67,578,-0.41
06/1885,4.3,0.02,0.02,7.9,0.034600,20.67,579,-0.44
07/1885,4.46,0.02,0.02,7.99,0.034500,20.67,580,-0.35
08/1885,4.71,0.02,0.02,7.99,0.034300,20.67,581,-0.31
09/1885,4.65,0.02,0.02,7.9,0.034200,20.67,582,-0.23
10/1885,4.92,0.02,0.02,7.9,0.034100,20.67,583,-0.19
11/1885,5.24,0.02,0.02,7.99,0.034000,20.67,584,-0.19
12/1885,5.2,0.02,0.02,8.18,0.033800,20.67,585,-0.05
01/1886,5.2,0.02,0.02,7.99,0.033700,20.67,586,-0.42
02/1886,5.3,0.02,0.02,7.99,0.033800,20.67,587,-0.45
03/1886,5.19,0.02,0.02,7.9,0.034000,20.67,588,-0.38
04/1886,5.12,0.02,0.02,7.8,0.034100,20.67,589,-0.27
05/1886,5.02,0.02,0.02,7.61,0.034200,20.67,590,-0.26
06/1886,5.25,0.02,0.03,7.52,0.034300,20.67,591,-0.38
07/1886,5.33,0.02,0.03,7.61,0.034500,20.67,592,-0.21
08/1886,5.37,0.02,0.03,7.71,0.034600,20.67,593,-0.33
09/1886,5.51,0.02,0.03,7.71,0.034700,20.67,594,-0.25
10/1886,5.65,0.02,0.03,7.71,0.034800,20.67,595,-0.28
11/1886,5.79,0.02,0.03,7.71,0.035000,20.67,596,-0.31
12/1886,5.64,0.02,0.03,7.8,0.035100,20.67,597,-0.26
01/1887,5.58,0.02,0.03,7.99,0.035200,20.67,598,-0.73
02/1887,5.54,0.02,0.03,8.09,0.035300,20.67,599,-0.52
03/1887,5.67,0.02,0.03,8.09,0.035500,20.67,600,-0.34
04/1887,5.8,0.02,0.03,8.09,0.035600,20.67,601,-0.38
05/1887,5.9,0.02,0.03,8.09,0.035700,20.67,602,-0.32
06/1887,5.73,0.02,0.03,7.99,0.035800,20.67,603,-0.24
07/1887,5.59,0.02,0.03,7.9,0.036000,20.67,604,-0.23
08/1887,5.45,0.02,0.03,7.99,0.036100,20.67,605,-0.32
09/1887,5.38,0.02,0.03,7.9,0.036200,20.67,606,-0.23
10/1887,5.2,0.02,0.03,7.99,0.036300,20.67,607,-0.32
11/1887,5.3,0.02,0.03,8.09,0.036500,20.67,608,-0.23
12/1887,5.27,0.02,0.03,8.28,0.036600,20.67,609,-0.33
01/1888,5.31,0.02,0.03,8.37,0.036700,20.67,610,-0.37
02/1888,5.28,0.02,0.03,8.28,0.036500,20.67,611,-0.36
03/1888,5.08,0.02,0.03,8.28,0.036300,20.67,612,-0.41
04/1888,5.1,0.02,0.03,8.18,0.036200,20.67,613,-0.22
05/1888,5.17,0.02,0.03,8.09,0.036000,20.67,614,-0.22
06/1888,5.01,0.02,0.03,7.99,0.035800,20.67,615,-0.18
07/1888,5.14,0.02,0.03,8.09,0.035600,20.67,616,-0.1
08/1888,5.25,0.02,0.02,8.09,0.035400,20.67,617,-0.16
09/1888,5.38,0.02,0.02,8.09,0.035200,20.67,618,-0.1
10/1888,5.35,0.02,0.02,8.18,0.035100,20.67,619,0.02
11/1888,5.24,0.02,0.02,8.28,0.034900,20.67,620,0
12/1888,5.14,0.02,0.02,8.28,0.034700,20.67,621,-0.07
01/1889,5.24,0.02,0.02,7.99,0.034500,20.67,622,-0.12
02/1889,5.3,0.02,0.02,7.9,0.034500,20.67,623,0.18
03/1889,5.19,0.02,0.02,7.8,0.034500,20.67,667,0.08
04/1889,5.18,0.02,0.02,7.8,0.034400,20.67,668,0.07
05/1889,5.32,0.02,0.02,7.61,0.034400,20.67,669,-0.03
06/1889,5.41,0.02,0.02,7.61,0.034400,20.67,670,-0.14
07/1889,5.3,0.02,0.02,7.61,0.034400,20.67,671,-0.1
08/1889,5.37,0.02,0.02,7.61,0.034300,20.67,672,-0.2
09/1889,5.5,0.02,0.02,7.71,0.034300,20.67,673,-0.22
10/1889,5.4,0.02,0.02,7.71,0.034300,20.67,674,-0.23
11/1889,5.35,0.02,0.02,7.71,0.034300,20.67,675,-0.33
12/1889,5.32,0.02,0.03,7.8,0.034200,20.67,676,-0.3
01/1890,5.38,0.02,0.02,7.61,0.034200,20.67,677,-0.44
02/1890,5.32,0.02,0.02,7.61,0.034400,20.67,678,-0.45
03/1890,5.28,0.02,0.02,7.61,0.034500,20.67,679,-0.4
04/1890,5.39,0.02,0.02,7.61,0.034700,20.67,680,-0.37
05/1890,5.62,0.02,0.02,7.71,0.034900,20.67,681,-0.46
06/1890,5.58,0.02,0.02,7.71,0.035000,20.67,682,-0.27
07/1890,5.54,0.02,0.02,7.71,0.035200,20.67,683,-0.27
08/1890,5.41,0.02,0.02,7.99,0.035400,20.67,684,-0.38
09/1890,5.32,0.02,0.02,8.09,0.035500,20.67,685,-0.4
10/1890,5.08,0.02,0.02,8.09,0.035700,20.67,686,-0.24
11/1890,4.71,0.02,0.02,7.9,0.035900,20.67,687,-0.48
12/1890,4.6,0.02,0.02,7.9,0.036000,20.67,688,-0.31
01/1891,4.84,0.02,0.02,7.8,0.036200,20.67,689,-0.42
02/1891,4.9,0.02,0.02,7.9,0.036200,20.67,690,-0.47
03/1891,4.81,0.02,0.03,7.99,0.036200,20.67,691,-0.18
04/1891,4.97,0.02,0.03,8.09,0.036200,20.67,692,-0.28
05/1891,4.95,0.02,0.03,7.99,0.036100,20.67,693,-0.19
06/1891,4.85,0.02,0.03,7.8,0.036100,20.67,694,-0.2
07/1891,4.77,0.02,0.03,7.71,0.036100,20.67,695,-0.2
08/1891,4.93,0.02,0.03,7.71,0.036100,20.67,696,-0.16
09/1891,5.33,0.02,0.03,7.61,0.036100,20.67,697,-0.14
10/1891,5.33,0.02,0.03,7.61,0.036100,20.67,698,-0.21
11/1891,5.25,0.02,0.03,7.52,0.036000,20.67,699,-0.34
12/1891,5.41,0.02,0.03,7.52,0.036000,20.67,700,-0.04
01/1892,5.51,0.02,0.03,7.33,0.036000,20.67,701,-0.28
02/1892,5.52,0.02,0.03,7.33,0.036100,20.67,702,-0.11
03/1892,5.58,0.02,0.03,7.14,0.036300,20.67,703,-0.35
04/1892,5.57,0.02,0.03,7.04,0.036400,20.67,704,-0.35
05/1892,5.57,0.02,0.03,7.04,0.036500,20.67,705,-0.25
06/1892,5.54,0.02,0.03,7.04,0.036600,20.67,706,-0.23
07/1892,5.54,0.02,0.03,7.23,0.036800,20.67,707,-0.32
08/1892,5.62,0.02,0.03,7.33,0.036900,20.67,708,-0.25
09/1892,5.48,0.02,0.03,7.33,0.037000,20.67,709,-0.13
10/1892,5.59,0.02,0.03,7.33,0.037100,20.67,710,-0.12
11/1892,5.57,0.02,0.03,7.52,0.037300,20.67,711,-0.41
12/1892,5.51,0.02,0.03,7.61,0.037400,20.67,712,-0.38
01/1893,5.61,0.02,0.03,7.9,0.037500,20.67,713,-0.79
02/1893,5.51,0.02,0.03,7.99,0.037500,20.67,714,-0.54
03/1893,5.31,0.02,0.03,7.8,0.037400,20.67,672,-0.23
04/1893,5.31,0.02,0.03,7.71,0.037400,20.67,673,-0.3
05/1893,4.84,0.02,0.03,7.61,0.037300,20.67,674,-0.36
06/1893,4.61,0.02,0.03,7.42,0.037300,20.67,675,-0.28
07/1893,4.18,0.02,0.03,7.23,0.037300,20.67,676,-0.16
08/1893,4.08,0.02,0.02,6.95,0.037200,20.67,677,-0.26
09/1893,4.37,0.02,0.02,7.23,0.037200,20.67,678,-0.2
10/1893,4.5,0.02,0.02,7.33,0.037100,20.67,679,-0.16
11/1893,4.57,0.02,0.02,7.14,0.037100,20.67,680,-0.17
12/1893,4.41,0.02,0.02,7.04,0.037000,20.67,681,-0.35
01/1894,4.32,0.02,0.02,6.85,0.037000,20.67,682,-0.53
02/1894,4.38,0.02,0.02,6.76,0.036800,20.67,683,-0.33
03/1894,4.51,0.02,0.02,6.57,0.036600,20.67,684,-0.25
04/1894,4.57,0.02,0.02,6.57,0.036400,20.67,685,-0.48
05/1894,4.4,0.02,0.02,6.57,0.036200,20.67,686,-0.35
06/1894,4.34,0.02,0.02,6.57,0.036000,20.67,687,-0.44
07/1894,4.25,0.02,0.02,6.57,0.035800,20.67,688,-0.26
08/1894,4.41,0.02,0.02,6.76,0.035600,20.67,689,-0.22
09/1894,4.48,0.02,0.02,6.85,0.035400,20.67,690,-0.25
10/1894,4.34,0.02,0.01,6.66,0.035200,20.67,691,-0.2
11/1894,4.34,0.02,0.01,6.66,0.035000,20.67,692,-0.25
12/1894,4.3,0.02,0.01,6.57,0.034800,20.67,693,-0.2
01/1895,4.25,0.02,0.01,6.57,0.034600,20.67,694,-0.44
02/1895,4.19,0.02,0.01,6.57,0.034700,20.67,695,-0.42
03/1895,4.19,0.02,0.02,6.57,0.034800,20.67,696,-0.28
04/1895,4.37,0.02,0.02,6.85,0.035000,20.67,697,-0.24
05/1895,4.61,0.02,0.02,6.95,0.035100,20.67,698,-0.26
06/1895,4.7,0.02,0.02,7.04,0.035200,20.67,699,-0.24
07/1895,4.72,0.02,0.02,6.95,0.035300,20.67,700,-0.17
08/1895,4.79,0.02,0.02,6.85,0.035400,20.67,701,-0.16
09/1895,4.82,0.02,0.02,6.85,0.035500,20.67,702,-0.09
10/1895,4.75,0.02,0.02,6.85,0.035700,20.67,703,-0.08
11/1895,4.59,0.02,0.02,6.85,0.035800,20.67,704,-0.14
12/1895,4.32,0.02,0.02,6.76,0.035900,20.67,705,-0.15
01/1896,4.27,0.02,0.02,6.66,0.036000,20.67,706,-0.25
02/1896,4.45,0.02,0.02,6.57,0.035800,20.67,707,-0.14
03/1896,4.38,0.02,0.02,6.57,0.035700,20.67,708,-0.25
04/1896,4.42,0.02,0.02,6.47,0.035500,20.67,709,-0.3
05/1896,4.4,0.02,0.02,6.37,0.035300,20.67,710,-0.18
06/1896,4.32,0.02,0.02,6.28,0.035200,20.67,711,-0.14
07/1896,4.04,0.02,0.02,6.28,0.035000,20.67,712,-0.03
08/1896,3.81,0.02,0.02,6.28,0.034800,20.67,713,-0.04
09/1896,4.01,0.02,0.02,6.28,0.034700,20.67,714,-0.03
10/1896,4.1,0.02,0.02,6.47,0.034500,20.67,715,0.12
11/1896,4.38,0.02,0.02,6.66,0.034300,20.67,716,-0.07
12/1896,4.22,0.02,0.02,6.66,0.034200,20.67,717,-0.03
01/1897,4.22,0.02,0.02,6.47,0.034000,20.67,718,-0.14
02/1897,4.18,0.02,0.02,6.47,0.034000,20.67,719,-0.14
03/1897,4.19,0.02,0.02,6.47,0.033900,20.67,650,-0.13
04/1897,4.06,0.02,0.02,6.37,0.033900,20.67,651,-0.02
05/1897,4.08,0.02,0.02,6.28,0.033800,20.67,652,-0.04
06/1897,4.27,0.02,0.02,6.28,0.033800,20.67,653,-0.16
07/1897,4.46,0.02,0.02,6.28,0.033800,20.67,654,-0.07
08/1897,4.75,0.02,0.02,6.57,0.033700,20.67,655,-0.11
09/1897,4.98,0.02,0.02,6.76,0.033700,20.67,656,-0.07
10/1897,4.82,0.02,0.02,6.66,0.033600,20.67,657,-0.12
11/1897,4.65,0.02,0.03,6.66,0.033600,20.67,658,-0.19
12/1897,4.75,0.02,0.03,6.66,0.033500,20.67,659,-0.19
01/1898,4.88,0.02,0.03,6.66,0.033500,20.67,660,-0.03
02/1898,4.87,0.02,0.03,6.76,0.033300,20.67,661,-0.29
03/1898,4.65,0.02,0.03,6.76,0.033100,20.67,662,-0.51
04/1898,4.57,0.02,0.03,6.76,0.032900,20.67,663,-0.33
05/1898,4.87,0.02,0.03,7.23,0.032700,20.67,664,-0.32
06/1898,5.06,0.02,0.03,6.76,0.032500,20.67,665,-0.2
07/1898,5.08,0.02,0.03,6.66,0.032300,20.67,666,-0.24
08/1898,5.27,0.02,0.03,6.66,0.032000,20.67,667,-0.25
09/1898,5.26,0.02,0.03,6.66,0.031800,20.67,668,-0.21
10/1898,5.15,0.02,0.03,6.66,0.031600,20.67,669,-0.33
11/1898,5.32,0.02,0.03,6.66,0.031400,20.67,670,-0.38
12/1898,5.65,0.02,0.03,6.76,0.031200,20.67,671,-0.25
01/1899,6.08,0.02,0.03,6.76,0.031000,20.67,672,-0.19
02/1899,6.31,0.02,0.03,6.95,0.031000,20.67,673,-0.4
03/1899,6.4,0.02,0.03,6.95,0.031100,20.67,674,-0.34
04/1899,6.48,0.02,0.03,7.04,0.031100,20.67,675,-0.2
05/1899,6.21,0.02,0.03,7.04,0.031200,20.67,676,-0.23
06/1899,6.07,0.02,0.03,7.14,0.031200,20.67,677,-0.33
07/1899,6.28,0.02,0.04,7.23,0.031300,20.67,678,-0.18
08/1899,6.44,0.02,0.04,7.33,0.031300,20.67,679,-0.07
09/1899,6.37,0.02,0.04,7.61,0.031300,20.67,680,-0.03
10/1899,6.34,0.02,0.04,7.71,0.031400,20.67,681,-0.05
11/1899,6.46,0.02,0.04,7.8,0.031400,20.67,682,0.12
12/1899,6.02,0.02,0.04,7.9,0.031500,20.67,683,-0.28
Jan-00,6.1,0.02,0.04,7.9,0.031500,20.67,684,-0.37
Feb-00,6.21,0.02,0.04,7.99,0.031500,20.67,685,-0.02
Mar-00,6.26,0.02,0.04,7.99,0.031400,20.67,686,0.01
Apr-00,6.34,0.02,0.04,7.99,0.031400,20.67,687,-0.12
May-00,6.04,0.02,0.04,7.8,0.031300,20.67,688,-0.1
Jun-00,5.86,0.02,0.04,7.71,0.031300,20.67,689,-0.12
Jul-00,5.86,0.02,0.04,7.8,0.031300,20.67,690,-0.13
Aug-00,5.94,0.02,0.04,7.71,0.031200,20.67,691,-0.1
Sep-00,5.8,0.02,0.04,7.8,0.031200,20.67,692,-0.04
Oct-00,6.01,0.02,0.04,7.71,0.031100,20.67,693,0.09
Nov-00,6.48,0.02,0.04,7.71,0.031100,20.67,694,-0.09
Dec-00,6.87,0.03,0.04,7.61,0.031000,20.67,695,-0.07
Jan-01,7.07,0.03,0.04,7.71,0.031000,20.67,696,-0.24
Feb-01,7.25,0.03,0.04,7.61,0.031100,20.67,697,-0.04
Mar-01,7.51,0.03,0.04,7.61,0.031100,20.67,698,0.08
Apr-01,8.14,0.03,0.04,7.52,0.031200,20.67,699,-0.04
May-01,7.73,0.03,0.04,7.52,0.031300,20.67,700,-0.16
Jun-01,8.5,0.03,0.04,7.52,0.031300,20.67,701,-0.12
Jul-01,7.93,0.03,0.04,7.61,0.031400,20.67,702,-0.15
Aug-01,8.04,0.03,0.04,7.71,0.031500,20.67,703,-0.2
Sep-01,8,0.03,0.04,7.8,0.031500,20.67,515,-0.22
Oct-01,7.91,0.03,0.04,7.8,0.031600,20.67,516,-0.31
Nov-01,8.08,0.03,0.04,7.9,0.031700,20.67,517,-0.17
Dec-01,7.95,0.03,0.04,7.99,0.031700,20.67,518,-0.27
Jan-02,8.12,0.03,0.04,7.9,0.031800,20.67,519,-0.2
Feb-02,8.19,0.03,0.04,7.9,0.031900,20.67,520,-0.04
Mar-02,8.2,0.03,0.04,7.9,0.032000,20.67,521,-0.29
Apr-02,8.48,0.03,0.05,7.99,0.032100,20.67,522,-0.31
May-02,8.46,0.03,0.05,8.09,0.032200,20.67,523,-0.36
Jun-02,8.41,0.03,0.05,8.18,0.032300,20.67,524,-0.35
Jul-02,8.6,0.03,0.05,8.18,0.032400,20.67,525,-0.29
Aug-02,8.83,0.03,0.05,8.09,0.032500,20.67,526,-0.33
Sep-02,8.85,0.03,0.05,8.18,0.032600,20.67,527,-0.29
Oct-02,8.57,0.03,0.05,8.75,0.032700,20.67,528,-0.31
Nov-02,8.24,0.03,0.05,8.47,0.032800,20.67,529,-0.39
Dec-02,8.05,0.03,0.05,8.56,0.032900,20.67,530,-0.46
Jan-03,8.46,0.03,0.05,8.66,0.033000,20.67,531,-0.26
Feb-03,8.41,0.03,0.05,8.66,0.033100,20.67,532,-0.05
Mar-03,8.08,0.03,0.05,8.37,0.033200,20.67,533,-0.23
Apr-03,7.75,0.03,0.05,8.37,0.033300,20.67,534,-0.43
May-03,7.6,0.03,0.05,8.18,0.033300,20.67,535,-0.45
Jun-03,7.18,0.03,0.05,8.18,0.033400,20.67,536,-0.46
Jul-03,6.85,0.03,0.05,8.18,0.033500,20.67,537,-0.38
Aug-03,6.63,0.03,0.05,8.18,0.033600,20.67,538,-0.48
Sep-03,6.47,0.03,0.05,8.28,0.033700,20.67,539,-0.48
Oct-03,6.26,0.03,0.05,8.18,0.033800,20.67,540,-0.48
Nov-03,6.28,0.03,0.04,8.09,0.033800,20.67,541,-0.45
Dec-03,6.57,0.03,0.04,8.09,0.033900,20.67,542,-0.52
Jan-04,6.68,0.03,0.04,8.28,0.034000,20.67,543,-0.67
Feb-04,6.5,0.03,0.04,8.47,0.034100,20.67,544,-0.58
Mar-04,6.48,0.03,0.04,8.37,0.034100,20.67,545,-0.51
Apr-04,6.64,0.03,0.04,8.28,0.034200,20.67,546,-0.54
May-04,6.5,0.03,0.04,8.09,0.034300,20.67,547,-0.55
Jun-04,6.51,0.03,0.04,8.09,0.034300,20.67,548,-0.51
Jul-04,6.78,0.03,0.04,8.09,0.034400,20.67,549,-0.54
Aug-04,7.01,0.03,0.04,8.18,0.034500,20.67,550,-0.5
Sep-04,7.32,0.03,0.04,8.28,0.034500,20.67,551,-0.53
Oct-04,7.75,0.03,0.04,8.28,0.034600,20.67,552,-0.39
Nov-04,8.17,0.03,0.04,8.47,0.034700,20.67,553,-0.21
Dec-04,8.25,0.03,0.04,8.47,0.034700,20.67,554,-0.34
Jan-05,8.43,0.03,0.04,8.47,0.034800,20.67,555,-0.4
Feb-05,8.8,0.03,0.04,8.47,0.034800,20.67,556,-0.59
Mar-05,9.05,0.03,0.04,8.37,0.034700,20.67,557,-0.22
Apr-05,8.94,0.03,0.05,8.37,0.034700,20.67,558,-0.36
May-05,8.5,0.03,0.05,8.28,0.034600,20.67,559,-0.33
Jun-05,8.6,0.03,0.05,8.28,0.034600,20.67,560,-0.3
Jul-05,8.87,0.03,0.05,8.28,0.034600,20.67,561,-0.29
Aug-05,9.2,0.03,0.05,8.37,0.034500,20.67,562,-0.22
Sep-05,9.23,0.03,0.05,8.28,0.034500,20.67,563,-0.18
Oct-05,9.36,0.03,0.05,8.28,0.034400,20.67,564,-0.25
Nov-05,9.31,0.03,0.05,8.37,0.034400,20.67,565,-0.1
Dec-05,9.54,0.03,0.06,8.47,0.034300,20.67,566,-0.18
Jan-06,9.87,0.03,0.06,8.47,0.034300,20.67,567,-0.28
Feb-06,9.8,0.03,0.06,8.47,0.034500,20.67,568,-0.3
Mar-06,9.56,0.03,0.06,8.47,0.034700,20.67,569,-0.16
Apr-06,9.43,0.03,0.06,8.47,0.034900,20.67,570,-0.04
May-06,9.18,0.03,0.06,8.56,0.035100,20.67,571,-0.24
Jun-06,9.3,0.03,0.06,8.56,0.035300,20.67,572,-0.21
Jul-06,9.06,0.03,0.06,8.28,0.035500,20.67,573,-0.25
Aug-06,9.73,0.03,0.06,8.47,0.035700,20.67,574,-0.2
Sep-06,10.03,0.03,0.06,8.56,0.035900,20.67,575,-0.27
Oct-06,9.73,0.03,0.06,8.75,0.036100,20.67,576,-0.19
Nov-06,9.93,0.03,0.06,8.85,0.036300,20.67,577,-0.38
Dec-06,9.84,0.03,0.06,8.94,0.036500,20.67,578,-0.16
Jan-07,9.56,0.03,0.06,8.85,0.036700,20.67,579,-0.41
Feb-07,9.26,0.03,0.06,9.04,0.036900,20.67,580,-0.51
Mar-07,8.35,0.03,0.06,8.94,0.037000,20.67,581,-0.27
Apr-07,8.39,0.03,0.06,8.94,0.037200,20.67,582,-0.39
May-07,8.1,0.03,0.06,9.13,0.037400,20.67,583,-0.47
Jun-07,7.84,0.04,0.06,9.23,0.037500,20.67,584,-0.43
Jul-07,8.14,0.04,0.06,9.23,0.037700,20.67,585,-0.36
